ISSN,Título,Estrato
1557-7708,JOURNAL OF ALTERNATIVE & COMPLEMENTARY MEDICINE,A3
2161-0460,JOURNAL OF ALZHEIMERS DISEASE & PARKINSONISM,B2
1469-7580,JOURNAL OF ANATOMY,A2
0021-8782,JOURNAL OF ANATOMY (PRINT),A2
2155-6148,JOURNAL OF ANESTHESIA & CLINICAL RESEARCH,B2
0021-8820,JOURNAL OF ANTIBIOTICS (TOKYO. 1968),A3
2347-212X,JOURNAL OF APPLIED BIOLOGY & BIOTECHNOLOGY,C
1234-1983,JOURNAL OF APPLIED GENETICS,A4
1365-2672,JOURNAL OF APPLIED MICROBIOLOGY,A3
1364-5072,JOURNAL OF APPLIED MICROBIOLOGY (PRINT),A3
1678-7757,JOURNAL OF APPLIED ORAL SCIENCE (IMPRESSO),A2
1678-7765,JOURNAL OF APPLIED ORAL SCIENCE (ONLINE),A2
0021-8979,JOURNAL OF APPLIED PHYSICS,A2
1361-6463,JOURNAL OF APPLIED PHYSICS,A2
1089-7550,JOURNAL OF APPLIED PHYSICS (ONLINE),A2
1097-4628,JOURNAL OF APPLIED POLYMER SCIENCE (ONLINE),A1
0021-8995,JOURNAL OF APPLIED POLYMER SCIENCE (PRINT),A1
1978-6980,JOURNAL OF APPLIED SCIENCES IN ENVIRONMENTAL SANITATION,C
1099-1263,JOURNAL OF APPLIED TOXICOLOGY (ONLINE),A2
2345-5063,JOURNAL OF ARCHIVES IN MILITARY MEDICINE,B2
0162-3257,JOURNAL OF AUTISM AND DEVELOPMENTAL DISORDERS,A1
1573-3432,JOURNAL OF AUTISM AND DEVELOPMENTAL DISORDERS (DORDRECHT ONLINE),A1
1053-8127,JOURNAL OF BACK AND MUSCULOSKELETAL REHABILITATION,A4
2469-2786,JOURNAL OF BACTERIOLOGY & MYCOLOGY,B2
2160-5866,JOURNAL OF BEHAVIORAL AND BRAIN SCIENCE,C
2198-4220,JOURNAL OF BIO- AND TRIBO-CORROSION,A2
0883-9115,JOURNAL OF BIOACTIVE AND COMPATIBLE POLYMERS (PRINT),B1
2236-1006,JOURNAL OF BIODENTISTRY AND BIOMATERIALS,B4
1083-351X,JOURNAL OF BIOLOGICAL CHEMISTRY,A1
2158-7043,JOURNAL OF BIOMATERIALS AND NANOBIOTECHNOLOGY,C
2158-7027,JOURNAL OF BIOMATERIALS AND NANOBIOTECHNOLOGY,C
0885-3282,JOURNAL OF BIOMATERIALS APPLICATIONS,A4
0920-5063,JOURNAL OF BIOMATERIALS SCIENCE. POLYMER ED. (PRINT),A2
0148-0731,JOURNAL OF BIOMECHANICAL ENGINEERING,B1
0021-9290,JOURNAL OF BIOMECHANICS,A2
1549-3296,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH. PART A,A1
1552-4965,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A,A1
1552-4973,"JOURNAL OF BIOMEDICAL MATERIALS RESEARCH. PART B, APPLIED BIOMATERIALS",A2
1552-4981,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B: APPLIED BIOMATERIALS,A2
1550-7033,JOURNAL OF BIOMEDICAL NANOTECHNOLOGY,A3
1864-0648,JOURNAL OF BIOPHOTONICS,A2
1360-8592,JOURNAL OF BODYWORK AND MOVEMENT THERAPIES,A3
1435-5604,JOURNAL OF BONE AND MINERAL METABOLISM,A2
0914-8779,JOURNAL OF BONE AND MINERAL METABOLISM (ENGLISH ED. PRINT),A2
0884-0431,JOURNAL OF BONE AND MINERAL RESEARCH,A1
2675-374X,JOURNAL OF BONE MARROW TRANSPLANTATION AND CELLULAR THERAPY,B4
2572-4916,JOURNAL OF BONE RESEARCH,C
1752-7155,JOURNAL OF BREATH RESEARCH,A2
1559-047X,JOURNAL OF BURN CARE & RESEARCH,A3
0885-8195,JOURNAL OF CANCER EDUCATION,A4
1543-0154,JOURNAL OF CANCER EDUCATION,A4
0171-5216,JOURNAL OF CANCER RESEARCH AND CLINICAL ONCOLOGY,B1
1582-4934,JOURNAL OF CELLULAR AND MOLECULAR MEDICINE (ONLINE),A2
0730-2312,JOURNAL OF CELLULAR BIOCHEMISTRY (PRINT),A2
1097-4652,JOURNAL OF CELLULAR PHYSIOLOGY,A1
0021-9541,JOURNAL OF CELLULAR PHYSIOLOGY (PRINT),A1
0891-0618,JOURNAL OF CHEMICAL NEUROANATOMY,B1
0268-2575,JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY (1986),A2
2090-9071,JOURNAL OF CHEMISTRY,A3
0021-9673,JOURNAL OF CHROMATOGRAPHY (PRINT),A1
2348-2125,JOURNAL OF CLEFT LIP PALATE AND CRANIOFACIAL ANOMALIES,B2
2690-5760,JOURNAL OF CLINICAL & COMMUNITY MEDICINE,B4
2640-2858,JOURNAL OF CLINICAL ADVANCES IN DENTISTRY,C
2249-782X,JOURNAL OF CLINICAL AND DIAGNOSTIC RESEARCH,B4
0973-709X,JOURNAL OF CLINICAL AND DIAGNOSTIC RESEARCH,B4
1989-5488,JOURNAL OF CLINICAL AND EXPERIMENTAL DENTISTRY,A4
1346-4280,JOURNAL OF CLINICAL AND EXPERIMENTAL HEMATOPATHOLOGY,A4
2771-019X,JOURNAL OF CLINICAL AND MEDICAL IMAGES CASE REPORTS (ONLINE),B3
2424-810X,JOURNAL OF CLINICAL AND TRANSLATIONAL RESEARCH (ONLINE),B2
2578-658X,JOURNAL OF CLINICAL ANESTHESIA AND PAIN MANAGEMENT,B4
1094-6950,JOURNAL OF CLINICAL DENSITOMETRY,A2
2447-911X,JOURNAL OF CLINICAL DENTISTRY AND RESEARCH,B3
0895-4356,JOURNAL OF CLINICAL EPIDEMIOLOGY,A1
2766-7820,JOURNAL OF CLINICAL IMAGES AND MEDICAL CASE REPORTS,B3
2077-0383,JOURNAL OF CLINICAL MEDICINE,A2
2249-4847,JOURNAL OF CLINICAL NEONATOLOGY,B4
2005-5013,JOURNAL OF CLINICAL NEUROLOGY,A3
0732-183X,JOURNAL OF CLINICAL ONCOLOGY,A1
0022-3875,JOURNAL OF CLINICAL ORTHODONTICS,B1
1600-051X,JOURNAL OF CLINICAL PERIODONTOLOGY,A1
0303-6979,JOURNAL OF CLINICAL PERIODONTOLOGY,A1
2639-913X,JOURNAL OF CLINICAL RESEARCH IN RADIOLOGY (ONLINE),B4
1550-9389,JOURNAL OF CLINICAL SLEEP MEDICINE,A2
2237-9363,JOURNAL OF COLOPROCTOLOGY (RIO DE JANEIRO. IMPRESSO),B2
0094-5145,JOURNAL OF COMMUNITY HEALTH,A1
1553-3840,JOURNAL OF COMPLEMENTARY AND INTEGRATIVE MEDICINE: AN INTERNATIONAL FORUM FOR EVIDENCE-BASED PRACTICES,A4
2538-7995,JOURNAL OF COMPLEXITY IN HEALTH SCIENCES (PRINT),B4
2504-477X,JOURNAL OF COMPOSITES SCIENCES,A2
0363-8715,JOURNAL OF COMPUTER ASSISTED TOMOGRAPHY,B1
0972-0707,JOURNAL OF CONSERVATIVE DENTISTRY,B1
2950-4716,JOURNAL OF CONSERVATIVE DENTISTRY AND ENDODONTICS (PRINT),B3
1526-3711,JOURNAL OF CONTEMPORARY DENTAL PRACTICE,B1
0168-3659,JOURNAL OF CONTROLLED RELEASE,A1
1476-4172,JOURNAL OF COSMETIC AND LASER THERAPY (PRINT),A4
1473-2130,JOURNAL OF COSMETIC DERMATOLOGY (PRINT),A3
2161-4105,"JOURNAL OF COSMETICS, DERMATOLOGICAL SCIENCES AND APPLICATIONS",C
1010-5182,JOURNAL OF CRANIO-MAXILLO-FACIAL SURGERY,A1
1203-4754,JOURNAL OF CUTANEOUS MEDICINE AND SURGERY,A3
0303-6987,JOURNAL OF CUTANEOUS PATHOLOGY,A3
1600-0560,JOURNAL OF CUTANEOUS PATHOLOGY (ONLINE),A3
2369-4475,JOURNAL OF DENTAL AND ORAL HEALTH,B3
2383-9309,JOURNAL OF DENTAL ANESTHESIA AND PAIN MEDICINE,B3
2383-9317,JOURNAL OF DENTAL ANESTHESIA AND PAIN MEDICINE,B3
0022-0337,JOURNAL OF DENTAL EDUCATION,A3
1930-7837,JOURNAL OF DENTAL EDUCATION,A3
2694-6211,JOURNAL OF DENTAL HEALTH AND ORAL RESEARCH (ONLINE),C
2373-4345,"JOURNAL OF DENTAL HEALTH, ORAL DISORDERS & THERAPY",B3
0974-6781,JOURNAL OF DENTAL IMPLANTS,B3
2693-9266,JOURNAL OF DENTAL RESEARCH AND REPORTS,C
2008-2118,"JOURNAL OF DENTAL RESEARCH, DENTAL CLINICS, DENTAL PROSPECTS",B2
1544-0591,JOURNAL OF DENTAL RESEARCH (ONLINE),A1
0022-0345,JOURNAL OF DENTAL RESEARCH (PRINT),A1
1991-7902,JOURNAL OF DENTAL SCIENCES,A1
2596-3368,JOURNAL OF DENTISTRY & PUBLIC HEALTH,B4
2475-5680,JOURNAL OF DENTISTRY AND ORAL BIOLOGY,B3
2454-3276,JOURNAL OF DENTISTRY AND ORAL CARE MEDICINE,B3
2572-7710,JOURNAL OF DENTISTRY AND ORAL DISORDERS,B3
2582-3736,JOURNAL OF DENTISTRY AND ORAL SCIENCES,C
0300-5712,JOURNAL OF DENTISTRY (BRISTON),A1
1551-8949,JOURNAL OF DENTISTRY FOR CHILDREN,B2
1935-5068,JOURNAL OF DENTISTRY FOR CHILDREN (ONLINE),B2
2355-4800,JOURNAL OF DENTISTRY INDONESIA,B4
1879-176X,JOURNAL OF DENTISTRY (ONLINE),A1
2345-6485,JOURNAL OF DENTISTRY (SHIRAZ),B4
2767-5092,JOURNAL OF DERMATOLOGY AND SKIN SCIENCE,C
2574-9943,JOURNAL OF DERMATOLY & COSMETOLOGY,B4
2040-1744,JOURNAL OF DEVELOPMENTAL ORIGINS OF HEALTH AND DISEASE (PRINT),A3
2251-6581,JOURNAL OF DIABETES & METABOLIC DISORDERS,A3
2314-6753,JOURNAL OF DIABETES RESEARCH,A2
0897-1889,JOURNAL OF DIGITAL IMAGING,A2
1618-727X,JOURNAL OF DIGITAL IMAGING (INTERNET),A2
1773-2247,JOURNAL OF DRUG DELIVERY SCIENCE AND TECHNOLOGY,A2
2277-9531,JOURNAL OF EDUCATION AND HEALTH PROMOTION,A4
2319-6440,JOURNAL OF EDUCATION AND HEALTH PROMOTION (ONLINE),A4
1927-5250,JOURNAL OF EDUCATION AND LEARNING,A3
1560-229X,JOURNAL OF ELECTRONIC IMAGING (ONLINE),B2
1720-8386,JOURNAL OF ENDOCRINOLOGICAL INVESTIGATION (ONLINE),A2
0099-2399,JOURNAL OF ENDODONTICS,A1
2764-1317,JOURNAL OF ENGINEERING RESEARCH,A4
1475-6366,JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY (PRINT),A1
0917-5040,JOURNAL OF EPIDEMIOLOGY,A2
1340-3516,JOURNAL OF EQUINE SCIENCE,A4
1496-4155,JOURNAL OF ESTHETIC AND RESTORATIVE DENTISTRY,A1
1708-8240,JOURNAL OF ESTHETIC AND RESTORATIVE DENTISTRY (ONLINE),A1
0378-8741,JOURNAL OF ETHNOPHARMACOLOGY,A1
1356-1294,JOURNAL OF EVALUATION IN CLINICAL PRACTICE,A2
2675-021X,JOURNAL OF EVIDENCE-BASED HEALTHCARE,B4
1756-5383,JOURNAL OF EVIDENCE-BASED MEDICINE,A1
1756-5391,JOURNAL OF EVIDENCE-BASED MEDICINE,A1
1097-9751,JOURNAL OF EXERCISE PHYSIOLOGY ONLINE,B2
2288-1778,JOURNAL OF EXERCISE REHABILITATION,A3
0885-7482,JOURNAL OF FAMILY VIOLENCE,A1
0145-8884,JOURNAL OF FOOD BIOCHEMISTRY,A2
1752-928X,JOURNAL OF FORENSIC AND LEGAL MEDICINE,A2
2219-6749,JOURNAL OF FORENSIC ODONTO-STOMATOLOGY,B2
2157-7145,JOURNAL OF FORENSIC RESEARCH,C
1556-4029,JOURNAL OF FORENSIC SCIENCES,A4
0022-1198,JOURNAL OF FORENSIC SCIENCES,A4
2079-4983,JOURNAL OF FUNCTIONAL BIOMATERIALS,A4
1756-4646,JOURNAL OF FUNCTIONAL FOODS,A1
2309-608X,JOURNAL OF FUNGI,A2
0944-1174,JOURNAL OF GASTROENTEROLOGY,A1
2224-6509,JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY RESEARCH (ONLINE),B3
1842-1121,JOURNAL OF GASTROINTESTINAL AND LIVER DISEASES (ONLINE),B1
2047-2978,JOURNAL OF GLOBAL HEALTH,A1
2317-3076,JOURNAL OF HEALTH & BIOLOGICAL SCIENCES,B2
2317-3084,JOURNAL OF HEALTH AND BIOLOGICAL SCIENCES,B2
2175-4411,JOURNAL OF HEALTH INFORMATICS,A4
1359-1053,JOURNAL OF HEALTH PSYCHOLOGY,A1
2447-8938,JOURNAL OF HEALTH SCIENCES (UNOPAR),B3
1868-9256,JOURNAL OF HEMATOPATHOLOGY,B3
2210-8033,JOURNAL OF HERBAL MEDICINE,A3
1551-5044,JOURNAL OF HISTOCHEMISTRY AND CYTOCHEMISTRY,A1
1540-3602,JOURNAL OF HOMOSEXUALITY,A1
2175-3598,JOURNAL OF HUMAN GROWTH AND DEVELOPMENT,B1
0950-9240,JOURNAL OF HUMAN HYPERTENSION,A3
0263-6352,JOURNAL OF HYPERTENSION,A2
2313-433X,JOURNAL OF IMAGING,C
2948-2933,JOURNAL OF IMAGING INFORMATICS IN MEDICINE (ONLINE),C
1388-3127,JOURNAL OF INCLUSION PHENOMENA AND MACROCYCLIC CHEMISTRY,A4
0972-124X,JOURNAL OF INDIAN SOCIETY OF PERIODONTOLOGY,A4
1876-0341,JOURNAL OF INFECTION AND PUBLIC HEALTH,A1
1972-2680,JOURNAL OF INFECTION IN DEVELOPING COUNTRIES,A4
1178-7031,JOURNAL OF INFLAMMATION RESEARCH,A4
1793-5458,JOURNAL OF INNOVATIVE OPTICAL HEALTH SCIENCES,A3
1476-9018,JOURNAL OF INTEGRATED CARE,A4
2768-3613,JOURNAL OF INTEGRATIVE AND COMPLEMENTARY MEDICINE,A3
2095-4964,JOURNAL OF INTEGRATIVE MEDICINE,A1
0219-6352,JOURNAL OF INTEGRATIVE NEUROSCIENCE (PRINT),B1
1744-6295,JOURNAL OF INTELLECTUAL DISABILITIES (PRINT),A2
2229-5194,JOURNAL OF INTERDISCIPLINARY DENTISTRY,B3
1309-100X,JOURNAL OF INTERNATIONAL DENTAL AND MEDICAL RESEARCH,C
0976-7428,JOURNAL OF INTERNATIONAL ORAL HEALTH,C
2250-1002,JOURNAL OF INTERNATIONAL SOCIETY OF PREVENTIVE & COMMUNITY DENTISTRY,A4
1356-1820,JOURNAL OF INTERPROFESSIONAL CARE,A2
0386-5185,JOURNAL OF JAPANESE CLEFT PALATE ASSOCIATION,B4
2234-7550,JOURNAL OF KOREAN ASSOCIATION OF ORAL AND MAXILLOFACIAL SURGEONS,A4
2234-5930,JOURNAL OF KOREAN ASSOCIATION OF ORAL AND MAXILLOFACIAL SURGEONS,A4
2228-6721,JOURNAL OF LASERS IN MEDICAL SCIENCES,A2
0898-2104,JOURNAL OF LIPOSOME RESEARCH,A3
1082-6076,JOURNAL OF LIQUID CHROMATOGRAPHY & RELATED TECHNOLOGIES (PRINT),B1
1050-6934,JOURNAL OF LONG-TERM EFFECTS OF MEDICAL IMPLANTS,B2
2213-9567,JOURNAL OF MAGNESIUM AND ALLOYS,A1
1064-7554,JOURNAL OF MAMMALIAN EVOLUTION,A3
1526-6125,JOURNAL OF MANUFACTURING PROCESSES,A1
2410-4701,JOURNAL OF MATERIAL SCIENCE AND TECHNOLOGY RESEARCH,B4
2050-750X,JOURNAL OF MATERIALS CHEMISTRY B,A1
1059-9495,JOURNAL OF MATERIALS ENGINEERING AND PERFORMANCE (PRINT),A3
0884-2914,JOURNAL OF MATERIALS RESEARCH,A2
2238-7854,JOURNAL OF MATERIALS RESEARCH AND TECHNOLOGY,A1
0022-2461,JOURNAL OF MATERIALS SCIENCE,A2
0957-4522,JOURNAL OF MATERIALS SCIENCE. MATERIALS IN ELECTRONICS,A3
0957-4530,JOURNAL OF MATERIALS SCIENCE. MATERIALS IN MEDICINE,A2
1573-4838,JOURNAL OF MATERIALS SCIENCE. MATERIALS IN MEDICINE (DORDRECHT. ONLINE),A2
1476-7058,JOURNAL OF MATERNAL-FETAL & NEONATAL MEDICINE,A2
0972-8279,JOURNAL OF MAXILLOFACIAL & ORAL SURGERY,A4
2056-9793,JOURNAL OF MEDIA CRITIQUES (ONLINE),C
2617-2496,JOURNAL OF MEDICAL ARTIFICIAL INTELLIGENCE,A4
1752-1947,JOURNAL OF MEDICAL CASE REPORTS,A4
2767-5416,JOURNAL OF MEDICAL CLINICAL CASE REPORTS (ONLINE),C
2382-1205,JOURNAL OF MEDICAL EDUCATION AND CURRICULAR DEVELOPMENT,A3
0022-2593,JOURNAL OF MEDICAL GENETICS (PRINT),A2
0022-2615,JOURNAL OF MEDICAL MICROBIOLOGY,A4
1096-9071,JOURNAL OF MEDICAL VIROLOGY,A1
0146-6615,JOURNAL OF MEDICAL VIROLOGY (PRINT),A1
0022-2623,JOURNAL OF MEDICINAL CHEMISTRY,A1
1096-620X,JOURNAL OF MEDICINAL FOOD,A3
1996-0875,JOURNAL OF MEDICINAL PLANTS RESEARCH,A4
2320-3862,JOURNAL OF MEDICINAL PLANTS STUDIES,B1
0167-7012,JOURNAL OF MICROBIOLOGICAL METHODS,A4
0022-2844,JOURNAL OF MOLECULAR EVOLUTION,A2
1567-2387,JOURNAL OF MOLECULAR HISTOLOGY (ONLINE),A3
1567-2379,JOURNAL OF MOLECULAR HISTOLOGY (PRINT),A3
0167-7322,JOURNAL OF MOLECULAR LIQUIDS (PRINT),A1
0946-2716,JOURNAL OF MOLECULAR MEDICINE (BERLIN. PRINT),A1
0022-2860,JOURNAL OF MOLECULAR STRUCTURE (PRINT),A2
2177-0298,JOURNAL OF MORPHOLOGICAL SCIENCES,B4
2675-4029,JOURNAL OF MULTIDISCIPLINARY DENTISTRY,C
1178-2390,JOURNAL OF MULTIDISCIPLINARY HEALTHCARE,A2
1388-0764,JOURNAL OF NANOPARTICLE RESEARCH,A3
1544-0478,JOURNAL OF NATURAL FIBERS,A2
0300-9564,JOURNAL OF NEURAL TRANSMISSION,A2
0165-5728,JOURNAL OF NEUROIMMUNOLOGY (PRINT),A3
0360-4012,JOURNAL OF NEUROSCIENCE RESEARCH,A2
0022-3093,JOURNAL OF NON-CRYSTALLINE SOLIDS,A2
0966-0429,JOURNAL OF NURSING MANAGEMENT,A1
1499-4046,JOURNAL OF NUTRITION EDUCATION AND BEHAVIOR,A3
2048-6790,JOURNAL OF NUTRITIONAL SCIENCE,A4
1076-2752,JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL MEDICINE,A2
1345-8957,JOURNAL OF OLEO SCIENCE,B1
1687-8450,JOURNAL OF ONCOLOGY,C
2333-0384,JOURNAL OF ORAL & FACIAL PAIN AND HEADACHE,A1
2790-8852,JOURNAL OF ORAL AND MAXILLOFACIAL ANESTHESIA.,C
0973-029X,JOURNAL OF ORAL AND MAXILLOFACIAL PATHOLOGY,B1
2321-3841,JOURNAL OF ORAL AND MAXILLOFACIAL RADIOLOGY,B3
2029-283X,JOURNAL OF ORAL AND MAXILLOFACIAL RESEARCH,B2
2212-5558,"JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY, MEDICINE, AND PATHOLOGY",B2
0278-2391,JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY (PRINT),A2
2212-4268,JOURNAL OF ORAL BIOLOGY AND CRANIOFACIAL RESEARCH,A2
1349-0079,JOURNAL OF ORAL BIOSCIENCES,A2
2525-5711,JOURNAL OF ORAL DIAGNOSIS - JORDI,B4
2638-499X,JOURNAL OF ORAL HEALTH & DENTISTRY,C
2332-0702,JOURNAL OF ORAL HYGIENE & HEALTH,B4
1548-1336,JOURNAL OF ORAL IMPLANTOLOGY,A4
2608-1326,JOURNAL OF ORAL MEDICINE AND ORAL SURGERY,B1
2000-2297,JOURNAL OF ORAL MICROBIOLOGY (ONLINE),A1
0904-2512,JOURNAL OF ORAL PATHOLOGY & MEDICINE,A1
1600-0714,JOURNAL OF ORAL PATHOLOGY & MEDICINE (ONLINE),A1
1365-2842,JOURNAL OF ORAL REHABILITATION,A2
0305-182X,JOURNAL OF ORAL REHABILITATION (PRINT),A2
0719-2479,JOURNAL OF ORAL RESEARCH,B3
2249-4987,JOURNAL OF ORAL RESEARCH AND REVIEW,B4
0719-2460,JOURNAL OF ORAL RESEARCH (PRINT),B3
1343-4934,JOURNAL OF ORAL SCIENCE,A3
1880-4926,JOURNAL OF ORAL SCIENCE (ONLINE),A3
1434-5293,JOURNAL OF OROFACIAL ORTHOPEDICS (PRINT),A2
2320-4737,JOURNAL OF OROFACIAL SCIENCES,B2
2278-0203,JOURNAL OF ORTHODONTIC SCIENCE,A4
1465-3133,JOURNAL OF ORTHODONTICS (ONLINE),A3
1465-3125,JOURNAL OF ORTHODONTICS (PRINT),A3
2036-4121,JOURNAL OF OSSEOINTEGRATION,B1
1178-7090,JOURNAL OF PAIN RESEARCH,A3
0022-3417,JOURNAL OF PATHOLOGY,A1
1549-8417,JOURNAL OF PATIENT SAFETY,A2
2146-4596,JOURNAL OF PEDIATRIC GENETICS,B3
1077-4114,JOURNAL OF PEDIATRIC HEMATOLOGY/ONCOLOGY (PRINT),B1
2581-7221,JOURNAL OF PEERSCIENTIST,C
2093-2286,JOURNAL OF PERIODONTAL & IMPLANT SCIENCE,A3
1600-0765,JOURNAL OF PERIODONTAL RESEARCH,A1
0022-3484,JOURNAL OF PERIODONTAL RESEARCH,A1
1943-3670,JOURNAL OF PERIODONTOLOGY,A1
0022-3492,JOURNAL OF PERIODONTOLOGY (1970),A1
0022-3891,JOURNAL OF PERSONALITY ASSESSMENT,A1
2075-4426,JOURNAL OF PERSONALIZED MEDICINE,A2
2320-1924,JOURNAL OF PHARMACEUTICAL AND BIOLOGICAL SCIENCES (ONLINE),C
1759-8893,JOURNAL OF PHARMACEUTICAL HEALTH SERVICES RESEARCH (ON LINE),A4
0022-3549,JOURNAL OF PHARMACEUTICAL SCIENCES,A2
2674-886X,"JOURNAL OF PHARMACOLOGICAL, CHEMISTRY AND BIOLOGICAL SCIENCES",B4
2278-3008,JOURNAL OF PHARMACY AND BIOLOGICAL SCIENCES,C
0022-3573,JOURNAL OF PHARMACY AND PHARMACOLOGY,A3
2666-4690,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY,B1
1010-6030,"JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY. A, CHEMISTRY",A2
1011-1344,"JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY. B, BIOLOGY",A1
1873-2682,"JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY. B, BIOLOGY",A1
1543-3080,JOURNAL OF PHYSICAL ACTIVITY & HEALTH,A2
2247-806X,JOURNAL OF PHYSICAL EDUCATION AND SPORT,A4
1742-6588,JOURNAL OF PHYSICS. CONFERENCE SERIES (PRINT),B4
0022-3727,"JOURNAL OF PHYSICS. D, APPLIED PHYSICS (PRINT)",A2
1748-6815,"JOURNAL OF PLASTIC, RECONSTRUCTIVE & AESTHETIC SURGERY",A3
1022-9760,JOURNAL OF POLYMER RESEARCH,A4
1566-2543,JOURNAL OF POLYMERS AND THE ENVIRONMENT,A1
1380-2224,JOURNAL OF POROUS MATERIALS,A2
1898-2395,JOURNAL OF PRE-CLINICAL AND CLINICAL RESEARCH,B1
1097-6841,JOURNAL OF PROSTHETIC DENTISTRY,A1
1883-1958,JOURNAL OF PROSTHODONTIC RESEARCH,A1
1532-849X,JOURNAL OF PROSTHODONTICS (ONLINE),A1
1059-941X,JOURNAL OF PROSTHODONTICS (PRINT),A1
1535-3893,JOURNAL OF PROTEOME RESEARCH (PRINT),A2
1874-3919,JOURNAL OF PROTEOMICS (PRINT),A2
0022-3999,JOURNAL OF PSYCHOSOMATIC RESEARCH,A1
1752-7325,JOURNAL OF PUBLIC HEALTH DENTISTRY,A3
0022-4006,JOURNAL OF PUBLIC HEALTH DENTISTRY,A3
2198-1833,JOURNAL OF PUBLIC HEALTH: FROM THEORY TO PRACTICE,A4
2196-8837,JOURNAL OF RACIAL AND ETHNIC HEALTH DISPARITIES,A1
1588-2780,JOURNAL OF RADIOANALYTICAL AND NUCLEAR CHEMISTRY (ONLINE),A4
0236-5731,JOURNAL OF RADIOANALYTICAL AND NUCLEAR CHEMISTRY (PRINT),A4
2731-085X,JOURNAL OF RARE DISEASES (ONLINE),C
0022-4197,JOURNAL OF RELIGION AND HEALTH,A1
2675-8229,JOURNAL OF RESEARCH AND KNOWLEDGE SPREADING,B2
2317-5907,JOURNAL OF RESEARCH IN DENTISTRY,B3
0315-162X,JOURNAL OF RHEUMATOLOGY,A3
0022-4391,JOURNAL OF SCHOOL HEALTH,A2
1746-1561,JOURNAL OF SCHOOL HEALTH,A2
1824-2049,JOURNAL OF SCIENCE COMMUNICATION,A1
1745-459X,JOURNAL OF SENSORY STUDIES (ONLINE),A4
1615-9314,JOURNAL OF SEPARATION SCIENCE (INTERNET),A3
1940-9893,JOURNAL OF SERVICE SCIENCE AND MANAGEMENT,B3
2423-7086,JOURNAL OF SKIN AND STEM CELL,B3
1365-2869,JOURNAL OF SLEEP RESEARCH,A1
0718-9516,JOURNAL OF SOIL SCIENCE AND PLANT NUTRITION (ONLINE),A1
0928-0707,JOURNAL OF SOL-GEL SCIENCE AND TECHNOLOGY,A3
0960-0760,JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY,A2
0011-4553,JOURNAL OF STOMATOLOGY,B3
2468-7855,"JOURNAL OF STOMATOLOGY, ORAL AND MAXILLOFACIAL SURGERY",A4
1052-3057,JOURNAL OF STROKE AND CEREBROVASCULAR DISEASES (PRINT),A2
1465-9891,JOURNAL OF SUBSTANCE USE,B1
1096-9098,JOURNAL OF SURGICAL ONCOLOGY,A2
1658-3655,JOURNAL OF TAIBAH UNIVERSITY FOR SCIENCE,A3
1658-3612,JOURNAL OF TAIBAH UNIVERSITY MEDICAL SCIENCES,C
0022-4901,JOURNAL OF TEXTURE STUDIES,A2
0190-9622,JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,A1
0002-7820,JOURNAL OF THE AMERICAN CERAMIC SOCIETY,A1
0735-1097,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY (PRINT),A1
0103-5053,JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY (IMPRESSO),A3
1678-4790,JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY (ONLINE),A3
2358-2782,JOURNAL OF THE BRAZILIAN COLLEGE OF ORAL AND MAXILLOFACIAL SURGERY,C
1488-2159,JOURNAL OF THE CANADIAN DENTAL ASSOCIATION (ONLINE),B2
2472-1972,JOURNAL OF THE ENDOCRINE SOCIETY,A4
0955-2219,JOURNAL OF THE EUROPEAN CERAMIC SOCIETY,A1
0929-6646,JOURNAL OF THE FORMOSAN MEDICAL ASSOCIATION (PRINT),A3
0970-4388,JOURNAL OF THE INDIAN SOCIETY OF PEDODONTICS AND PREVENTIVE DENTISTRY,B2
2518-3745,JOURNAL OF THE INTERNATIONAL ACADEMY OF PERIODONTOLOGY,B3
1466-2094,JOURNAL OF THE INTERNATIONAL ACADEMY OF PERIODONTOLOGY,B3
0021-1133,JOURNAL OF THE IRISH DENTAL ASSOCIATION (1965),C
1878-0180,JOURNAL OF THE MECHANICAL BEHAVIOR OF BIOMEDICAL MATERIALS,A2
1751-6161,JOURNAL OF THE MECHANICAL BEHAVIOR OF BIOMEDICAL MATERIALS (PRINT),A1
0027-8874,JOURNAL OF THE NATIONAL CANCER INSTITUTE (PRINT),A1
